produs2,pret
portocale per kg,4.99
avocado per bucata,6.99
pepene verde per kg,1.69
mango per bucata,2.49
limes per bucata,1.29
mere idared per kg,3.69
rodii per bucata,1.79
mere golden import per kg,2.49
ananas per kg,4.99
pepene galia per kg,6.99
kiwi,9.99
mere red delicious,6.14
mere golden d melinda 1.5kg,5.49
mere golden gigant per kg,5.99
mere morgenduft per kg,3.49
pepene galben import per kg,6.99
mere red delicios platou per kg,6.99
mango ready to eat,10.99
pepene piel de sapo per kg,8.99
pitaya red,14.49
coacaze rosii 125g,19.99
mere red delicios caserola 4 buc,5.49
mere golden caserola 4buc,4.99
mangustan 250g,19.99
kumquats 250g,10.99
patrunjel verde legatura,0.99
ceapa verde legatura,0.99
marar legatura,0.99
ridichi roz legatura,1.39
usturoi 250g,6.49
gulie per bucata,1.29
cartofi dulci per kg,9.99
"morcovi, per kg",2.22
ghimbir 200g,1.49
usturoi verde legatura,1.59
telina ramuri per bucata,4.49
ceapa rosie import,2.49
praz per kg,3.99
rosii cherry bio carrefour 250g,2.99
ardei iute 100g,0.99
ciuperci champignon per kg,7.49
ciuperci proaspete mini champ 250g,3.33
spanac per kg,3.99
usturoi 500g,9.99
"ardei galben import, per kg",13.99
ardei gras verde import per kg,9.99
ardei verde per kg,13.99
rosii cherry shakers la cana cherry pera 250g,2.99
usturoi per kg,14.99
ardei chilli mix 50g,3.49
ardei dulce palermo mix 2 buc,4.99
ardei dulce palermo galben 2 buc,5.99
salata baby spanac carrefour 100g,3.49
salata crocanta carrefour 220g,3.49
varza alba tocata carrefour 220g,1.49
busuioc carrefour 30g,4.49
valeriana carrefour 100g,5.49
salata misticanza carrefour 100g,5.49
salata baby batavia carrefour 100g,5.49
chivas proaspat carrefour 30g,4.49
varza rosie tocata carrefour 220g,1.49
coriandru carrefour 30g,4.49
salata fantezie carrefour 150g,5.49
cimbru proaspat carrefour 30g,4.49
mix varza carrefour 220g,1.49
menta ghiveci,6.49
rozmarin ghiveci agriro fresh,6.49
salata mexico mix eisberg 150g,6.49
salata latino carrefour 180g,5.49
salata picante carrefour 140g,5.49
germeni 7 mixt biovega 75g,5.99
salata multifruct carrefour 330g,5.99
salata chef eisberg 180g,6.49
tarhon proaspat carrefour 30g,4.49
germeni de broccoli biovega 75g,5.99
germeni de grau spelta biovega 150g,4.99
germeni de lucerna cu chimen dulce biovega 75g,5.99
salvie proaspata carrefour 30g,4.49
susan 50g,1.99
boia dulce premium 45g,1.99
germeni de ceapa biovega 50g,5.99
germeni de creson biovega 75g,5.99
leustean 15g,1.99
germeni de ridiche biovega 75g,5.99
germeni de lucerna cu trifoi rosu biovega 75g,5.99
menta 30g,1.99
germeni de mustar biovega 75g,5.99
busuioc 15g,1.59
marar 15g,1.99
coriandru 20g,1.99
maghiran 15g,1.99
paine alba pave 500g,1.39
"paine alba, feliata french toast 600g",4.99
paine fara coaja toast cu faina alba feliata kb toast 300g,3.49
paine integrala feliata savoria 500g,4.49
"paine integrala cu multiseminte, feliata kb 500g",3.99
paine boiereasca neagra feliata vel pitar 700g,4.9
chifle albe carrefour 10 buc 500g,1.99
chifla alba carrefour 50g,0.4
"paine cu faina integrala, feliata kb 500g",3.49
paine cu faina alba de grau feliata carrefour 600g,2.99
franzela alba carrefour 500g,1.79
paine fara coaja toast cu faina graham feliata kb toast 300g,3.7
"paine boiereasca alba, feliata vel pitar 700g",4.6
"paine cu faina de secara, feliata french toast 600g",4.99
paine rustica faina neagra carrefour 500g,3.59
painica pave cu masline carrefour 80g,0.59
paine cu secara feliata vel pitar 500g,2.99
chifla kaiser multicereale 50g,0.69
paine crocanta wassa leger 270g,6.59
paine libaneza po 500g,4.75
chifla kaiser natural 45g,0.3
"paine rotunda, feliata carrefour 500g",2.3
painici albe pave carrefour 4 buc 400g,2.49
covrig susan carrefour 100g,0.79
painea smarandei faina secara carrefour 500g,2.59
"paine toast alba, feliata kb toast 600g",3.49
painica pave cu faina neagra carrefour 80g,0.59
toast bio cu multicereale feliat savoria 500g,6.99
painica pave cu cereale carrefour 80g,0.59
ciabata junior 80g,0.99
"paine toast cu secara, feliata kb toast 600g",3.49
"paine din faina alba, feliata savoria 500g",4.49
"paine cu faina graham, feliata french toast 600g",4.99
paine integrala carrefour 400g,2.29
"paine cu faina integrala, feliata carrefour 600g",3.49
chifla kaiser cu mac 50g,0.3
paine alba pave 1kg,2.79
"toast cu secara, feliat savoria 500g",5
toast secara feliat carrefour 600g,3.49
painea smarandei alba carrefour 500g,2.59
paine cu faina integrala si seminte feliata carrefour 500g,4.6
"paine cu cartofi, feliata vel pitar 800g",4.59
paine rustica cu seminte 500g,2.49
painica alba pave carrefour 80g,0.4
painica pave cu ceapa 80g,0.59
paine toast cu 7 cereale carrefour bio 225g,6.58
"paine alba, feliata dobrogea neptun 500g",3.29
paine de secara feliata dobrogea benecol 240g,4.8
"paine toast cu faina alba, feliata kb toast 300g",2.7
paine alba pave cu ceapa carrefour per kg,3.9
paine toast integrala feliata kb toast 600g,4.99
paine toast graham feliata bongrana 500g,4.8
chifle pentru hamburger cu susan quickbury 300g,6.49
"toast cu germeni de grau, feliat savoria 500g",4.9
paine toast secara feliata bongrana 500g,4.3
paine alba rotunda carrefour 500g,1.6
pasca din grau integral carrefour 180g,3.51
paine cu cereale schar rustico 225g,10.5
specialitate din grau carrefour 180g,3.51
paine pave cu faina neagra per kg,2.9
bagheta multicereale 115g,2.99
chifle pentru hamburger quickbury 6 buc 300g,6.49
"paine sandwich alba, feliata vel pitar 500g",3.79
paine cu seminte de floarea soarelui 400g,5.49
paine toast alb feliata bongrana 500g,4.49
paine prajita cu usturoi carrefour 180 g,3.51
paine alba sandwich carrefour 340g,2.42
paine taraneasca schar pane casereccio 240g,14.79
paine cu secara la tava carrefour 400g,2.5
paine indesata cu seminte carrefour 500g,2.92
paine alba pave cu cereale carrefour per kg,3.9
paine rasucita panatura 400g,1.79
toast cu ovaz 500g savoria,5.5
paine alba tigris carrefour 1kg,2.49
paine alba pave cu masline carrefour per kg,3.9
crutoane carrefour per kg,3.99
chifla cub floarea soarelui 50g,1.38
paine pentru hamburger cu seminte de susan si ulei de palmier roberto 300g,8.43
saleuri per kg,17.9
drojdie uscata dr.oetker 7g,0.89
